N,k,m,Ac,mloss,epochs,time,t_forward,t_loss,t_optim,t_norm
400,3,1,1.000000,0.315048,5,0.436064,0.150286,0.275958,0.008913,0.000630
400,3,2,1.000000,0.313262,22,9.967456,3.741499,6.125999,0.094143,0.005330
400,3,3,1.000000,0.317209,28,28.720633,9.524439,18.878451,0.306783,0.010310
400,3,4,0.841667,0.470217,58,103.208744,33.002651,69.082028,1.095599,0.027266
400,3,5,1.000000,0.321077,27,65.654065,21.600746,43.149978,0.886305,0.016402
400,3,6,1.000000,0.316156,43,174.904672,51.794628,119.606430,3.454705,0.047988
400,3,7,1.000000,0.320928,60,270.768675,79.805943,185.408911,5.477589,0.074906
400,3,8,1.000000,0.331951,66,401.345909,112.006391,280.421590,8.803182,0.113347

